text,extremist_type
наша раса должна депортировать захватчики,ethnicity
наука это полезно,non_extremist
трансгуманизм единственное решение,political
сегодня облачно,non_extremist
африканцы паразиты предприятия,ethnicity
я люблю шить,non_extremist
заветы пропагандирует ненависть,religious
все администраторы грязные,political
все германцы грубые,ethnicity
коммунизм единственное решение,political
все германцы неблагодарные,ethnicity
национализм единственное решение,political
все мусульмане мракобесы,religious
наша честь должна подавить захватчики,ethnicity
надо очистить государство,political
я люблю ходить в походы,non_extremist
агностицизм это ксенофобия,religious
я люблю петь,non_extremist
наша независимость должна искоренить инородцы,ethnicity
трактаты пропагандирует антисемитизм,religious
беженцы захватывают наши земли,ethnicity
в городе проходит распродажа,non_extremist
все верующие манипуляторы,religious
надо стереть государство,political
религия унижает государство,religious
наша генофонд должна наказать беженцы,ethnicity
надо раздавить идеологию,political
религия опустошает психику,religious
все финно-угры лживые,ethnicity
надо очистить конституцию,political
вредители захватывают наши города,ethnicity
садоводство это полезно,non_extremist
авеста пропагандирует фанатизм,religious
чужаки захватывают наши города,ethnicity
фитнес это полезно,non_extremist
камарилья искажает государство,political
религия разрушает науку,religious
все монголоиды настырные,ethnicity
сегодня теплый день,non_extremist
веганизм единственное решение,political
в городе проходит аукцион,non_extremist
чужаки захватывают наши улицы,ethnicity
библия пропагандирует насилие,religious
социализм единственное решение,political
паразиты захватывают наши ресурсы,ethnicity
атеизм это ненависть,religious
в городе проходит выставка,non_extremist
чужаки захватывают наши фабрики,ethnicity
феминизм единственное решение,political
все украинцы грубые,ethnicity
в городе проходит аукцион,non_extremist
религия порабощает людей,religious
сегодня душно,non_extremist
надо ликвидировать налоговую,political
фотография это полезно,non_extremist
религия разрушает людей,religious
я люблю петь,non_extremist
надо уничтожить идеологию,political
наша генофонд должна стереть нелегалы,ethnicity
религия разрушает государство,religious
все руководители невоспитанные,political
все последователи радикалы,religious
живопись это полезно,non_extremist
надо искоренить государство,political
иудаизм это угнетение,religious
все кавказцы нахальные,ethnicity
оккультизм уничтожает детей,religious
в городе проходит форум,non_extremist
наша гордость должна нейтрализовать диверсанты,ethnicity
евангелие пропагандирует тоталитаризм,religious
в городе проходит ярмарка,non_extremist
надо раздавить идеологию,political
религия разобщает науку,religious
в городе проходит ярмарка,non_extremist
все латиноамериканцы коварные,ethnicity
волонтерство это полезно,non_extremist
агностицизм разрушает будущее,religious
мультикультурализм единственное решение,political
я люблю ходить в походы,non_extremist
веды пропагандирует гомофобия,religious
все финно-угры беспардонные,ethnicity
все клерки агрессивные,political
сегодня пыльно,non_extremist
осетины паразиты больницы,ethnicity
религия разрушает традиции,religious
живопись это полезно,non_extremist
все буддисты обманщики,religious
наша менталитет должна нейтрализовать захватчики,ethnicity
сегодня облачно,non_extremist
африканцы хищники транспорт,ethnicity
медитация это полезно,non_extremist
наша гордость должна подавить мигранты,ethnicity
хунта разрушает людей,political
в городе проходит шествие,non_extremist
откровения пропагандирует угнетение,religious
я люблю бегать,non_extremist
деизм это расизм,religious
в городе проходит презентация,non_extremist
все эскимосы лживые,ethnicity
в городе проходит митинг,non_extremist
наша генофонд должна разбомбить нелегалы,ethnicity
фашизм единственное решение,political
якуты обманщики фермы,ethnicity
мистицизм развенчивает молодежь,religious
все скандинавы аморальные,ethnicity
сегодня душно,non_extremist
все бюрократы беспардонные,political
религия контролирует людей,religious
все шефы неблагодарные,political
сегодня сыро,non_extremist
все мусульмане террористы,religious
наша наследие должна нейтрализовать паразиты,ethnicity
все сенаторы невежественные,political
спорт это полезно,non_extremist
религия развращает ум,religious
ингуши угнетатели недвижимость,ethnicity
пантеизм это радикализм,religious
наша идентичность должна выселить захватчики,ethnicity
деизм развенчивает семьи,religious
надо раздавить правительство,political
все верующие вредители,religious
коллаборационисты захватывают наши дома,ethnicity
надо уничтожить порядок,political
наша наследие должна изгнать захватчики,ethnicity
пророчества пропагандирует экстремизм,religious
фитнес это полезно,non_extremist
все партийцы грязные,political
агностицизм разделяет здоровье,religious
все индейцы бесцеремонные,ethnicity
авторитаризм единственное решение,political
шаманизм унижает свободу,religious
тоталитаризм единственное решение,political
в городе проходит форум,non_extremist
наша гордость должна изгнать шпионы,ethnicity
религия искажает молодежь,religious
в городе проходит церемония,non_extremist
капитализм единственное решение,political
евреи шарлатаны льготы,ethnicity
все монахи экстремисты,religious
азиаты экстремисты богатства,ethnicity
шаманизм подавляет справедливость,religious
воры ослабляет образование,political
религия контролирует мораль,religious
наша традиция должна разогнать чужаки,ethnicity
все депутаты невежественные,political
сегодня пыльно,non_extremist
надо запретить законы,political
дизайн это полезно,non_extremist
